PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,JAN_PH_SUELO,FEB_PH_SUELO,MAR_PH_SUELO,APR_PH_SUELO,MAY_PH_SUELO,JUN_PH_SUELO,JUL_PH_SUELO,AUG_PH_SUELO,SEP_PH_SUELO,OCT_PH_SUELO,NOV_PH_SUELO,DEC_PH_SUELO
T2M_MAX,2002,24.54,25.09,27.28,26.55,26.36,25.81,24.68,25.03,25.06,25.06,24.79,24.22,27.28,6.85,5.97,4.43,3.71,6.36,6.29,8.23,3.98,7.88,6.26,4.68,6.17
T2M_MAX,2003,24.68,25.62,29.82,29.24,28.47,25.66,25.64,25.74,26.16,25.94,25.16,24.02,29.82,6.96,4.75,8.67,5.28,5.6,3.35,8.61,6.2,7.12,4.86,8.32,7.83
T2M_MAX,2004,24.67,27.08,26.29,29.51,26.81,26.38,25.33,26.04,26.25,26.57,25.9,24.33,29.51,7.07,3.82,8.85,3.99,4.58,7.18,6.65,7.91,5.2,3.49,3.53,5.52
T2M_MAX,2005,25.36,25.95,26.42,27.34,27.64,26.92,26.88,25.4,25.93,25.58,25.02,24.76,27.64,4.63,8.68,8.71,5.77,4.7,5.74,5.07,5.93,4.24,7.55,6.54,6.8
T2M_MAX,2006,24.63,24.7,25.6,27.34,27.18,25.77,25.5,25.5,26.49,26.36,25.23,24.74,27.34,3.09,6.54,3.75,4.75,4.69,6.75,7.91,5.4,6.8,7.75,3.03,4.28
T2M_MAX,2007,24.02,25.84,27.7,28.98,27.16,26.33,25.17,25.44,25.92,24.73,24.3,24.05,28.98,4.72,8.27,4.67,4.37,5.26,5.91,4.41,6.4,8.32,5.79,3.86,8.63
T2M_MAX,2008,23.53,24.48,25.43,26.57,27.67,25.94,24.83,25.46,26.58,25.19,25.15,24.51,27.67,3.75,4.02,3.54,6.14,6.56,4.8,4.62,5.17,5.82,6.85,6.17,6.6
T2M_MAX,2009,23.59,24.27,26.19,27.03,28.07,26.11,26.18,26.12,27.01,26.33,24.77,25.53,28.07,6.71,8.31,4.73,3.47,7.37,5.33,4.01,7.94,6.42,3.17,3.08,7.5
T2M_MAX,2010,25.14,26.46,28.47,29.68,26.94,26.93,26.08,26.51,25.03,25.31,24.75,23.74,29.68,6.49,7.75,3.69,6.74,4.12,5.32,6.56,8.82,4.3,4.14,5.54,6.97
T2M_MAX,2011,24.33,24.9,27.51,28.87,29.62,27.72,25.88,26.51,25.56,25.68,24.62,23.87,29.62,7.89,5.63,7.34,4.16,5.53,4.62,7.51,6.39,3.32,6.21,3.35,3.34
T2M_MAX,2012,23.34,24.16,26.94,27.59,27.95,26.95,25.4,26.68,26.22,25.17,25.09,25.17,27.95,4.49,8.23,7.61,4.72,6.25,4.94,8.48,8.42,7.37,3.07,5.17,6.47
T2M_MAX,2013,24.39,26.18,29.11,27.93,28.31,25.77,24.95,25.94,26.11,25.44,25.49,24.51,29.11,4.44,8.61,4.99,4.07,7.56,5.81,5.0,7.95,5.71,4.89,8.54,4.16
T2M_MAX,2014,23.97,26.07,27.14,29.0,27.37,26.5,25.46,26.07,25.26,25.85,25.58,24.86,29.0,3.7,7.04,5.05,3.18,3.38,5.61,4.27,8.86,8.18,4.89,4.27,7.5
T2M_MAX,2015,24.04,24.87,26.38,28.75,26.83,27.05,25.82,26.46,26.37,26.93,25.73,25.43,28.75,6.16,3.35,8.57,7.2,4.92,5.13,4.92,5.17,8.68,6.35,6.33,5.16
T2M_MAX,2016,25.35,26.51,30.08,29.72,29.78,26.79,25.2,26.33,25.96,26.05,25.63,24.82,30.08,6.14,7.99,6.15,6.33,6.3,5.5,7.61,8.11,5.05,5.33,6.36,4.22
T2M_MAX,2017,24.67,26.02,28.1,28.42,27.08,26.24,25.32,26.81,26.56,25.95,25.73,25.16,28.42,3.75,4.14,7.85,8.39,7.34,6.18,6.06,5.8,5.7,4.37,5.84,7.87
T2M_MAX,2018,23.96,23.58,26.57,26.71,27.24,26.22,25.53,25.81,26.05,26.69,25.69,24.99,27.24,6.1,8.02,3.18,5.03,6.98,5.38,6.66,4.2,8.84,4.48,8.2,3.26
T2M_MAX,2019,25.95,28.68,27.81,29.62,27.74,26.28,26.21,26.22,26.44,25.66,25.17,24.73,29.62,7.23,5.41,6.87,3.87,5.32,8.96,5.09,5.56,5.56,4.47,5.22,7.65
T2M_MAX,2020,24.93,25.54,27.16,28.54,28.0,26.39,25.75,27.24,26.1,25.92,26.19,24.26,28.54,5.3,5.06,3.54,4.05,6.33,7.92,6.21,8.08,3.56,7.95,4.72,7.27
T2M_MAX,2021,24.24,25.43,26.89,26.94,27.07,25.98,25.91,25.09,26.4,26.15,25.94,24.62,27.07,5.84,5.3,6.25,8.15,3.18,5.74,8.32,6.74,4.7,8.56,7.55,3.53
T2M_MAX,2022,24.56,24.92,27.35,27.35,27.06,26.71,25.66,26.22,26.33,25.53,25.67,24.12,27.35,3.51,4.85,8.89,8.46,8.43,3.05,6.13,7.82,7.98,4.14,6.39,3.79
T2M_MAX,2023,23.81,25.5,26.88,29.09,28.39,27.36,26.35,27.28,26.95,26.68,26.1,25.7,29.09,7.31,8.96,7.03,8.8,5.69,6.46,8.65,7.16,5.1,5.0,6.62,5.5
T2M_MAX,2024,25.79,26.77,30.59,29.97,29.0,26.71,26.2,26.39,27.05,26.76,25.46,24.69,30.59,7.32,5.7,5.95,5.92,4.73,5.74,3.91,4.78,6.19,7.85,3.56,3.88
T2M_MAX,2025,24.42,26.03,27.44,27.01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.75,4.99,7.8,8.54,3.16,5.38,3.06,3.68,6.6,5.85,6.13,7.04
T2M_MIN,1981,14.19,14.68,12.66,16.23,15.97,14.92,15.16,15.54,14.75,13.65,14.72,14.84,12.66,8.75,6.46,5.48,5.38,3.3,4.75,6.68,3.03,7.24,5.68,7.64,4.63
T2M_MIN,1982,14.02,14.09,13.69,14.33,15.17,15.44,14.31,14.83,15.9,13.64,14.12,14.36,13.64,8.38,4.5,7.06,3.02,8.49,8.59,4.66,5.64,5.4,8.22,4.29,8.2
T2M_MIN,1983,15.75,14.86,15.2,15.01,15.63,16.1,15.55,14.75,13.83,13.35,14.96,14.31,13.35,8.39,5.73,3.47,3.03,5.35,4.58,5.62,4.79,5.19,4.34,6.22,8.96
T2M_MIN,1984,13.14,13.49,14.07,13.6,15.48,14.3,14.05,15.13,15.22,14.87,12.75,15.3,12.75,4.59,4.03,8.58,7.72,5.3,5.16,6.4,8.17,3.65,3.79,6.44,6.89
T2M_MIN,1985,14.37,13.8,14.28,14.87,14.49,14.86,14.08,13.08,14.88,14.58,14.97,13.74,13.08,5.65,7.81,6.79,6.07,6.34,7.55,7.88,4.72,6.7,3.08,3.27,5.12
T2M_MIN,1986,14.73,11.92,12.49,16.23,15.96,15.84,14.82,15.09,14.82,14.16,14.42,13.29,11.92,3.1,7.12,3.93,7.88,4.91,8.7,7.4,8.19,5.68,8.66,6.06,6.56
T2M_MIN,1987,14.11,15.17,12.08,14.74,16.69,14.44,15.09,15.35,14.19,15.72,15.63,14.87,12.08,3.7,7.95,4.81,3.45,7.09,3.44,5.93,5.73,7.24,8.28,7.99,3.56
T2M_MIN,1988,12.39,15.32,14.63,15.43,16.06,15.51,14.92,15.46,15.45,14.38,14.72,15.93,12.39,7.5,7.48,5.14,4.42,6.33,4.68,3.35,3.01,4.42,4.39,3.56,4.99
T2M_MIN,1989,15.66,14.76,13.31,15.21,16.76,15.64,14.62,15.52,14.44,14.77,15.3,13.8,13.31,7.15,5.77,7.41,4.75,3.32,3.75,7.43,5.73,6.18,5.15,5.6,5.81
T2M_MIN,1990,15.6,14.64,12.49,13.27,17.13,16.39,15.03,14.74,15.8,15.52,14.9,15.24,12.49,3.68,3.09,5.92,8.43,5.49,4.84,7.78,5.7,4.64,8.81,7.16,8.4
T2M_MIN,1991,13.41,14.35,14.14,14.6,15.83,15.16,14.23,14.69,16.4,15.0,13.81,14.8,13.41,8.66,7.3,4.4,8.24,6.98,4.92,7.71,6.87,5.99,5.96,3.63,8.5
T2M_MIN,1992,14.23,14.02,13.79,15.43,15.18,16.89,14.9,16.22,15.44,14.68,15.47,14.89,13.79,6.77,5.56,7.49,6.33,6.34,6.34,3.21,6.26,5.77,8.66,4.53,4.6
T2M_MIN,1993,14.62,14.69,12.18,15.86,17.4,16.97,16.37,16.55,16.12,15.6,15.52,15.4,12.18,6.01,6.23,4.51,5.62,4.57,8.73,5.81,6.96,6.2,7.74,4.77,6.0
T2M_MIN,1994,14.49,14.72,13.4,15.02,16.15,16.61,16.69,15.83,15.83,15.97,14.88,13.47,13.4,3.76,3.15,3.89,3.89,8.96,5.11,7.48,7.13,5.16,3.04,8.23,8.14
T2M_MIN,1995,14.46,13.79,13.42,16.09,16.52,16.6,14.82,16.95,16.18,16.89,15.93,14.62,13.42,8.46,5.58,7.23,5.47,7.08,6.13,5.77,4.81,7.31,4.88,3.37,7.74
T2M_MIN,1996,14.18,13.42,13.53,15.04,17.32,16.17,15.79,14.9,15.37,16.75,15.0,15.53,13.42,5.93,3.15,4.41,3.71,4.55,4.98,4.27,6.88,7.46,6.31,7.79,5.1
T2M_MIN,1997,12.68,15.13,14.13,14.48,15.83,14.7,17.22,16.45,15.56,16.97,16.48,14.09,12.68,4.6,7.75,7.26,3.59,6.82,5.57,5.79,5.76,8.23,5.32,3.39,4.58
T2M_MIN,1998,14.45,15.61,15.82,16.09,16.67,17.6,16.24,15.31,16.23,18.14,14.8,16.43,14.45,7.14,8.83,3.68,8.14,9.0,3.09,7.0,6.6,8.27,4.35,4.05,3.72
T2M_MIN,1999,13.83,14.38,13.65,13.81,16.3,15.44,15.13,15.18,16.66,16.09,15.38,14.69,13.65,8.58,3.92,5.08,7.96,6.6,6.66,4.97,7.58,6.82,4.44,6.15,6.82
T2M_MIN,2000,14.42,14.62,14.94,14.8,16.69,14.7,16.19,15.24,16.22,15.19,14.26,13.87,13.87,7.25,5.83,4.54,5.9,5.46,4.65,7.89,4.44,5.74,7.4,3.77,3.32
T2M_MIN,2001,13.56,14.77,13.49,15.64,16.32,16.61,14.54,16.6,16.23,16.6,14.35,14.59,13.49,3.4,3.64,7.39,7.04,6.36,5.52,6.54,7.3,3.79,6.35,3.09,4.54
T2M_MIN,2002,13.97,15.03,15.03,14.4,16.32,17.28,16.39,14.9,15.62,15.87,15.44,14.28,13.97,8.31,3.83,3.63,7.75,8.3,3.06,5.62,4.74,7.89,8.45,8.21,8.43
T2M_MIN,2003,14.72,14.67,14.33,14.76,15.88,16.44,15.89,15.99,15.12,16.94,15.76,15.17,14.33,4.15,3.46,7.08,4.17,3.57,4.97,4.49,3.54,6.35,5.45,6.7,6.39
T2M_MIN,2004,14.3,14.25,16.35,15.61,17.47,16.03,15.22,17.04,15.37,15.78,13.22,14.97,13.22,4.87,7.6,6.95,6.56,3.48,3.34,5.49,4.52,6.21,4.03,8.05,6.07
T2M_MIN,2005,14.42,13.7,14.77,14.39,16.94,17.39,16.8,16.56,16.37,17.65,14.45,12.42,12.42,5.56,8.03,4.4,6.9,7.13,5.53,6.13,6.4,8.83,8.62,8.96,5.66
T2M_MIN,2006,13.8,14.61,14.48,14.59,15.14,16.38,15.29,16.53,15.85,15.73,14.09,15.84,13.8,6.26,8.21,5.76,8.9,6.18,7.75,3.05,5.96,8.31,7.75,3.36,4.5
T2M_MIN,2007,16.38,14.22,15.36,14.69,17.21,16.56,15.52,16.23,16.02,15.6,15.82,12.76,12.76,3.56,5.77,3.65,7.08,3.2,5.88,5.11,6.95,6.04,6.62,6.12,4.6
T2M_MIN,2008,12.38,13.61,14.49,14.34,15.44,17.16,15.88,16.77,14.85,16.9,14.99,14.88,12.38,3.13,3.5,8.66,5.86,8.91,8.2,4.8,7.8,6.27,5.24,3.37,6.09
T2M_MIN,2009,15.55,14.31,13.92,15.26,16.78,16.94,16.89,15.96,16.35,15.79,15.52,16.12,13.92,6.07,8.37,8.8,4.46,4.83,3.26,8.8,7.1,8.25,5.34,7.06,3.7
T2M_MIN,2010,15.08,15.19,14.71,14.84,17.57,15.91,15.88,17.07,16.93,16.13,14.27,13.49,13.49,6.23,8.58,7.22,3.06,7.08,5.33,3.56,8.2,3.94,5.01,6.71,5.48
T2M_MIN,2011,14.43,15.17,13.7,14.01,15.82,17.29,14.98,16.32,16.0,15.48,15.3,15.88,13.7,6.1,8.07,8.45,5.76,6.76,8.51,7.32,5.21,3.61,3.17,8.68,5.23
T2M_MIN,2012,14.89,13.92,13.67,14.21,16.58,16.02,15.07,14.59,15.31,15.61,16.05,14.78,13.67,6.76,8.98,6.83,8.3,6.35,7.93,8.52,4.15,5.67,3.43,6.07,6.05
T2M_MIN,2013,14.57,14.85,14.9,15.47,12.33,16.19,15.37,15.15,16.45,15.35,14.06,13.58,12.33,5.65,3.89,8.12,8.54,8.7,5.68,6.92,3.97,4.2,6.29,5.61,4.83
T2M_MIN,2014,14.38,14.15,14.74,15.57,15.67,15.62,17.23,15.34,15.44,16.01,15.46,13.97,13.97,3.29,6.36,3.28,5.07,5.12,5.51,5.06,3.79,5.06,5.56,3.64,4.38
T2M_MIN,2015,15.68,15.11,14.65,15.02,14.52,17.81,16.75,16.18,15.8,16.92,16.28,16.26,14.52,8.21,6.07,5.65,3.74,3.74,6.76,7.43,4.58,6.43,6.36,7.19,6.74
T2M_MIN,2016,15.01,15.34,15.79,15.6,16.06,16.08,16.15,16.73,15.9,15.86,15.53,15.44,15.01,3.87,6.12,7.01,7.7,7.05,3.16,5.27,3.03,3.4,4.51,4.51,8.2
T2M_MIN,2017,14.69,14.86,14.64,15.5,17.31,16.89,16.6,15.61,15.57,16.26,15.64,14.9,14.64,5.73,3.57,5.47,8.71,9.0,3.99,8.18,8.52,4.74,7.55,3.98,3.59
T2M_MIN,2018,15.68,14.58,13.65,14.37,15.34,14.39,16.22,16.04,16.66,16.08,15.37,15.61,13.65,8.31,8.48,7.32,7.07,5.01,4.65,4.24,7.43,7.57,5.66,6.52,6.51
T2M_MIN,2019,15.13,14.89,15.39,16.25,17.6,16.99,16.24,16.71,14.89,16.04,14.19,15.99,14.19,3.49,6.16,3.27,5.3,4.2,4.76,5.12,8.33,5.62,7.21,5.43,7.96
T2M_MIN,2020,16.08,13.96,15.73,15.52,17.21,15.56,14.07,14.97,14.82,16.48,16.56,13.57,13.57,3.28,3.25,6.02,6.64,7.93,3.24,4.7,4.96,6.02,8.79,7.67,8.14
T2M_MIN,2021,13.59,15.41,13.38,15.34,15.95,15.07,16.23,15.62,16.71,16.38,14.78,16.47,13.38,4.2,6.88,5.38,4.18,5.88,4.9,6.56,6.27,5.98,7.47,3.24,6.11
T2M_MIN,2022,15.2,12.54,14.26,15.8,16.22,15.3,16.29,15.27,16.89,16.11,15.34,15.47,12.54,7.1,4.86,3.96,8.06,3.3,3.02,6.41,6.5,7.35,5.0,4.57,8.97
T2M_MIN,2023,14.71,13.53,15.29,14.76,16.99,15.81,16.89,17.24,15.9,17.48,16.67,16.68,13.53,6.19,7.76,5.21,7.03,7.64,7.81,8.53,6.4,5.58,3.55,3.52,5.76
T2M_MIN,2024,15.93,13.93,14.21,14.95,16.76,17.71,16.85,17.28,17.87,17.47,16.24,16.22,13.93,4.71,4.67,6.85,7.72,7.68,5.59,6.97,7.18,5.16,3.61,6.89,3.63
T2M_MIN,2025,14.9,15.61,15.96,16.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.47,3.55,4.99,6.05,7.93,5.21,7.46,7.72,8.42,5.22,5.42,7.62
